                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90482,                0.73833,                 1.0549,                0.72012,                0.68321,                0.73377,                0.56703,                0.87335,                0.75628,                 1.0509,             0.00040797,             0.00040797,             0.00040797
                     36,                0.91192,                 0.7432,                 1.0573,                0.68265,                0.71087,                0.73513,                0.56571,                0.86114,                0.75574,                 1.0452,             0.00040449,             0.00040449,             0.00040449
                     37,                0.90381,                0.72683,                  1.052,                0.71012,                0.71489,                 0.7403,                0.57728,                0.86405,                0.74782,                 1.0481,             0.00040102,             0.00040102,             0.00040102
                     38,                0.89942,                0.72979,                 1.0503,                0.75823,                0.68765,                0.74719,                0.58054,                 0.8585,                0.74512,                  1.042,             0.00039755,             0.00039755,             0.00039755
                     39,                0.90221,                0.72929,                 1.0482,                0.73012,                0.72166,                0.75261,                0.58139,                0.87898,                0.74777,                 1.0513,             0.00039408,             0.00039408,             0.00039408
                     40,                0.90405,                0.72312,                 1.0551,                 0.7215,                0.70225,                0.75209,                0.59059,                0.84879,                0.72571,                 1.0379,             0.00039061,             0.00039061,             0.00039061
                     41,                0.89398,                 0.7146,                 1.0487,                0.70602,                0.71755,                  0.743,                0.58365,                0.85112,                0.73001,                 1.0384,             0.00038714,             0.00038714,             0.00038714
                     42,                0.89008,                0.70265,                 1.0421,                0.73737,                0.69802,                0.74262,                0.58111,                0.84958,                0.73402,                 1.0358,             0.00038366,             0.00038366,             0.00038366
                     43,                0.88022,                0.69652,                 1.0431,                0.75206,                0.73248,                0.75644,                0.59125,                 0.8534,                0.72159,                 1.0366,             0.00038019,             0.00038019,             0.00038019
                     44,                0.88456,                0.69654,                  1.038,                0.72897,                0.71161,                0.75139,                0.59154,                0.83463,                0.71226,                 1.0284,             0.00037672,             0.00037672,             0.00037672
                     45,                0.86924,                0.68222,                  1.035,                0.76107,                0.74319,                0.76941,                 0.5991,                0.84783,                0.71241,                 1.0351,             0.00037325,             0.00037325,             0.00037325
                     46,                0.87293,                0.68494,                 1.0351,                0.75015,                0.71139,                0.76999,                0.59931,                0.86034,                0.71749,                 1.0379,             0.00036978,             0.00036978,             0.00036978
                     47,                0.86444,                0.67333,                 1.0325,                0.74111,                0.70626,                0.76074,                0.60322,                0.84462,                0.70698,                 1.0319,             0.00036631,             0.00036631,             0.00036631
                     48,                0.87285,                0.67731,                 1.0373,                0.71428,                0.74591,                0.78052,                0.61452,                0.84106,                0.69325,                 1.0283,             0.00036283,             0.00036283,             0.00036283
                     49,                0.86139,                0.66785,                  1.029,                0.74645,                 0.7423,                0.76841,                0.60023,                0.83667,                0.70404,                 1.0251,             0.00035936,             0.00035936,             0.00035936
                     50,                0.85837,                0.65243,                 1.0261,                0.74967,                 0.7352,                0.77877,                0.61498,                0.82966,                0.69069,                 1.0226,             0.00035589,             0.00035589,             0.00035589
                     51,                0.86034,                0.66158,                 1.0242,                0.76794,                0.72629,                0.77324,                0.60301,                0.83862,                0.69436,                  1.025,             0.00035242,             0.00035242,             0.00035242
                     52,                0.85472,                 0.6546,                  1.029,                0.80418,                  0.707,                0.76779,                0.60762,                0.82616,                0.69004,                 1.0205,             0.00034895,             0.00034895,             0.00034895
                     53,                0.84737,                0.64588,                 1.0181,                0.76556,                0.73036,                0.77964,                0.61286,                0.82581,                0.68531,                 1.0189,             0.00034548,             0.00034548,             0.00034548
                     54,                0.84851,                0.64218,                 1.0204,                0.75298,                0.74408,                0.77747,                0.61116,                0.84029,                0.68587,                 1.0244,             0.00034201,             0.00034201,             0.00034201
                     55,                0.84346,                 0.6324,                 1.0146,                0.75135,                0.74698,                0.78296,                0.61357,                0.82802,                0.68276,                 1.0189,             0.00033853,             0.00033853,             0.00033853
                     56,                0.85123,                0.63727,                 1.0188,                0.71617,                0.76957,                0.77699,                0.61531,                0.82677,                0.67997,                 1.0202,             0.00033506,             0.00033506,             0.00033506
                     57,                0.83918,                0.62806,                 1.0138,                0.78834,                0.70532,                0.77294,                0.61284,                0.82482,                0.68025,                 1.0172,             0.00033159,             0.00033159,             0.00033159
                     58,                 0.8356,                0.62238,                 1.0099,                0.74994,                0.75092,                0.77755,                 0.6192,                0.81489,                0.67151,                 1.0132,             0.00032812,             0.00032812,             0.00032812
                     59,                0.83198,                0.61706,                 1.0125,                0.78025,                  0.723,                 0.7803,                0.61461,                0.82175,                 0.6722,                 1.0156,             0.00032465,             0.00032465,             0.00032465
                     60,                0.82778,                0.61722,                 1.0099,                0.72533,                0.76686,                0.79165,                0.62638,                0.82421,                0.67231,                 1.0172,             0.00032118,             0.00032118,             0.00032118
                     61,                0.82577,                0.61434,                 1.0075,                0.75258,                0.73601,                0.78102,                0.61636,                0.81729,                0.67496,                 1.0132,              0.0003177,              0.0003177,              0.0003177
                     62,                0.83014,                 0.6123,                 1.0132,                 0.7536,                0.74639,                0.78718,                0.62296,                  0.812,                 0.6672,                   1.01,             0.00031423,             0.00031423,             0.00031423
                     63,                0.82857,                 0.6046,                  1.011,                0.73296,                0.74319,                0.77355,                0.61556,                 0.8165,                0.67087,                 1.0122,             0.00031076,             0.00031076,             0.00031076
                     64,                 0.8198,                0.59306,                 1.0051,                0.75738,                0.77355,                0.79455,                0.62782,                0.82064,                0.67306,                 1.0144,             0.00030729,             0.00030729,             0.00030729
                     65,                0.81861,                0.60118,                 1.0042,                0.75818,                0.74815,                0.78373,                0.62748,                0.81287,                0.66734,                 1.0098,             0.00030382,             0.00030382,             0.00030382
                     66,                0.81109,                0.59489,                 1.0019,                0.75842,                0.75765,                0.79036,                0.62597,                0.81764,                0.66684,                 1.0125,             0.00030035,             0.00030035,             0.00030035
                     67,                0.81077,                 0.5856,                 1.0017,                0.79787,                0.74431,                0.79228,                0.62888,                0.81225,                0.66223,                 1.0094,             0.00029687,             0.00029687,             0.00029687
                     68,                0.81038,                0.58525,                0.99829,                0.75549,                0.75313,                0.79095,                0.62944,                0.81252,                0.66407,                 1.0104,              0.0002934,              0.0002934,              0.0002934
                     69,                0.80969,                0.57555,                0.99984,                 0.8022,                0.77209,                0.80405,                0.63742,                0.81345,                0.66711,                 1.0095,             0.00028993,             0.00028993,             0.00028993
                     70,                0.80489,                0.57371,                0.99468,                0.75137,                0.76766,                0.79301,                0.63164,                0.81511,                0.66498,                 1.0116,             0.00028646,             0.00028646,             0.00028646
                     71,                0.80568,                0.57374,                0.99653,                0.74297,                0.79163,                0.80217,                0.64005,                0.80446,                0.65318,                 1.0051,             0.00028299,             0.00028299,             0.00028299
                     72,                0.79828,                0.56354,                0.99595,                0.77544,                0.75966,                0.80183,                  0.638,                0.80593,                0.66113,                 1.0068,             0.00027952,             0.00027952,             0.00027952
                     73,                0.79307,                0.56629,                0.99036,                0.75751,                0.77646,                0.80035,                0.62997,                0.81764,                0.66404,                 1.0119,             0.00027604,             0.00027604,             0.00027604
                     74,                0.79526,                 0.5624,                0.99154,                0.81028,                0.73513,                 0.7988,                0.63343,                0.81871,                0.65875,                 1.0119,             0.00027257,             0.00027257,             0.00027257
                     75,                0.79052,                  0.557,                0.99259,                0.78095,                0.74363,                0.79771,                0.63315,                0.80958,                0.66206,                  1.008,              0.0002691,              0.0002691,              0.0002691
                     76,                 0.7903,                0.55637,                0.98888,                0.81689,                0.73522,                0.81137,                0.64766,                0.80921,                0.65823,                  1.007,             0.00026563,             0.00026563,             0.00026563
                     77,                0.78839,                0.54921,                0.98917,                0.77514,                0.75191,                0.79592,                0.63425,                0.81618,                0.66239,                 1.0113,             0.00026216,             0.00026216,             0.00026216
                     78,                 0.7845,                0.54299,                0.98978,                0.78546,                0.73559,                0.78755,                0.63431,                0.81245,                0.65806,                 1.0101,             0.00025869,             0.00025869,             0.00025869
                     79,                0.78042,                 0.5471,                0.98555,                0.78947,                0.75183,                 0.8059,                0.63766,                0.80934,                0.65687,                  1.008,             0.00025522,             0.00025522,             0.00025522
                     80,                0.78139,                0.54282,                0.98286,                0.76001,                0.75955,                0.79612,                0.63081,                0.80634,                 0.6581,                 1.0065,             0.00025174,             0.00025174,             0.00025174
                     81,                0.77609,                0.53647,                0.98192,                0.76732,                0.75259,                0.78939,                0.62908,                0.81386,                0.65694,                 1.0105,             0.00024827,             0.00024827,             0.00024827
                     82,                0.77536,                0.52979,                0.98487,                0.76363,                0.75883,                 0.7944,                0.63157,                0.81478,                0.66007,                 1.0081,              0.0002448,              0.0002448,              0.0002448
                     83,                0.77598,                0.53119,                 0.9853,                0.78749,                0.75202,                0.79752,                0.63393,                0.81118,                0.65458,                 1.0072,             0.00024133,             0.00024133,             0.00024133
                     84,                0.77057,                0.52807,                0.98039,                0.77286,                 0.7616,                0.79954,                0.63693,                0.80977,                0.65647,                  1.007,             0.00023786,             0.00023786,             0.00023786
                     85,                0.76731,                0.52048,                0.97452,                0.79288,                 0.7614,                0.80372,                0.63748,                0.80523,                0.65657,                 1.0041,             0.00023439,             0.00023439,             0.00023439
                     86,                0.76854,                0.51854,                0.97772,                0.76432,                0.78237,                0.80084,                0.63879,                0.80742,                0.65586,                 1.0057,             0.00023091,             0.00023091,             0.00023091
                     87,                0.77024,                 0.5188,                0.97961,                0.81707,                0.73145,                0.80224,                0.64301,                0.80207,                0.65572,                  1.003,             0.00022744,             0.00022744,             0.00022744
                     88,                0.76138,                  0.515,                0.97335,                0.76526,                0.78596,                0.80631,                0.64255,                0.80618,                 0.6483,                 1.0052,             0.00022397,             0.00022397,             0.00022397
                     89,                0.76177,                0.50987,                0.97364,                0.75161,                0.78192,                0.80429,                  0.642,                0.80352,                0.65435,                 1.0063,              0.0002205,              0.0002205,              0.0002205
