                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0787,                0.99485,                 1.1344,                0.76935,                0.55719,                0.61509,                0.44038,                  1.033,                0.99165,                 1.1325,             0.00041144,             0.00041144,             0.00041144
                     35,                 1.0861,                0.98068,                 1.1324,                0.69281,                0.58347,                0.60919,                0.44063,                 1.0355,                0.98066,                 1.1185,             0.00040797,             0.00040797,             0.00040797
                     36,                 1.0847,                0.97317,                 1.1279,                0.74225,                0.54264,                0.60981,                0.45161,                0.98555,                0.94417,                 1.1017,             0.00040449,             0.00040449,             0.00040449
                     37,                 1.0738,                0.95925,                 1.1345,                0.67362,                0.58873,                0.60883,                0.43452,                 1.0792,                0.98772,                 1.1563,             0.00040102,             0.00040102,             0.00040102
                     38,                 1.0595,                0.94899,                 1.1246,                0.70346,                0.60099,                0.62868,                 0.4473,                0.97014,                0.93433,                 1.0981,             0.00039755,             0.00039755,             0.00039755
                     39,                 1.0624,                0.94105,                 1.1214,                0.59444,                0.59658,                0.61526,                0.44135,                 1.0057,                 0.9712,                 1.1185,             0.00039408,             0.00039408,             0.00039408
                     40,                 1.0703,                0.94291,                 1.1261,                0.65114,                0.61483,                0.63525,                0.45221,                 1.0215,                0.96043,                 1.1259,             0.00039061,             0.00039061,             0.00039061
                     41,                 1.0486,                0.93027,                 1.1113,                0.68242,                0.57773,                0.63891,                0.46546,                 0.9878,                0.92322,                 1.1004,             0.00038714,             0.00038714,             0.00038714
                     42,                 1.0534,                0.92734,                 1.1154,                0.56134,                0.62418,                0.63697,                0.46449,                0.96239,                0.92822,                 1.0883,             0.00038366,             0.00038366,             0.00038366
                     43,                 1.0502,                  0.921,                 1.1118,                0.60447,                0.63643,                0.65241,                0.47874,                0.98599,                0.91047,                 1.0957,             0.00038019,             0.00038019,             0.00038019
                     44,                 1.0474,                0.92729,                 1.1083,                0.62833,                0.62524,                0.65537,                0.47705,                0.98024,                0.91094,                  1.102,             0.00037672,             0.00037672,             0.00037672
                     45,                 1.0394,                0.90587,                 1.1079,                0.65862,                0.60983,                0.65653,                 0.4873,                0.96102,                 0.8983,                 1.0864,             0.00037325,             0.00037325,             0.00037325
                     46,                 1.0349,                0.90139,                 1.1057,                0.60132,                0.64791,                0.66484,                0.49342,                0.95782,                 0.8783,                 1.0837,             0.00036978,             0.00036978,             0.00036978
                     47,                 1.0437,                 0.8974,                 1.1036,                0.59085,                0.61432,                0.63292,                0.47359,                0.97357,                0.95704,                 1.0879,             0.00036631,             0.00036631,             0.00036631
                     48,                 1.0294,                0.89481,                 1.0991,                0.72803,                0.61893,                0.66069,                0.49289,                 0.9601,                0.88739,                  1.082,             0.00036283,             0.00036283,             0.00036283
                     49,                 1.0235,                0.87993,                 1.0966,                0.60361,                0.64203,                0.64767,                0.47916,                0.97804,                0.90209,                 1.0925,             0.00035936,             0.00035936,             0.00035936
                     50,                 1.0207,                 0.8843,                 1.1021,                0.66675,                0.62714,                0.65267,                0.48377,                 1.0018,                0.88429,                 1.1005,             0.00035589,             0.00035589,             0.00035589
                     51,                 1.0221,                0.88032,                  1.096,                0.61422,                0.65638,                0.65864,                0.49069,                0.93999,                0.86484,                 1.0701,             0.00035242,             0.00035242,             0.00035242
                     52,                 1.0101,                0.86087,                  1.088,                0.68343,                0.64209,                0.65988,                 0.4869,                0.95383,                0.88516,                 1.0798,             0.00034895,             0.00034895,             0.00034895
                     53,                 1.0171,                 0.8604,                 1.0864,                0.71987,                0.61064,                 0.6613,                0.48952,                0.98348,                0.88536,                 1.0894,             0.00034548,             0.00034548,             0.00034548
                     54,                 1.0037,                0.85741,                 1.0924,                0.75775,                0.61602,                0.66296,                0.48888,                0.95622,                0.85417,                 1.0776,             0.00034201,             0.00034201,             0.00034201
                     55,                0.99841,                0.84671,                 1.0793,                0.65411,                 0.6145,                0.65598,                0.48895,                0.94266,                0.88791,                 1.0681,             0.00033853,             0.00033853,             0.00033853
                     56,                 1.0052,                0.85094,                 1.0833,                0.72544,                0.61982,                0.66585,                0.49618,                0.99035,                 0.8823,                 1.0941,             0.00033506,             0.00033506,             0.00033506
                     57,                 1.0077,                0.85491,                 1.0879,                0.70866,                0.64044,                0.67609,                0.50376,                0.94114,                0.85661,                 1.0712,             0.00033159,             0.00033159,             0.00033159
                     58,                 1.0097,                0.84386,                 1.0865,                0.71274,                0.64103,                0.67316,                0.50831,                0.93322,                0.81996,                 1.0635,             0.00032812,             0.00032812,             0.00032812
                     59,                0.99529,                 0.8325,                 1.0787,                 0.6002,                0.66923,                0.66775,                0.50396,                0.95873,                0.85787,                  1.076,             0.00032465,             0.00032465,             0.00032465
                     60,                0.99511,                0.83851,                 1.0769,                0.67245,                0.64659,                0.66643,                0.49174,                0.97662,                0.86033,                 1.0816,             0.00032118,             0.00032118,             0.00032118
                     61,                0.98699,                0.81736,                 1.0729,                0.67364,                0.65498,                0.69024,                0.51726,                0.92738,                0.81708,                 1.0597,              0.0003177,              0.0003177,              0.0003177
                     62,                0.99227,                0.82339,                 1.0736,                0.69836,                0.64134,                0.68905,                0.51242,                0.93549,                0.81873,                  1.066,             0.00031423,             0.00031423,             0.00031423
                     63,                 0.9743,                0.81038,                 1.0702,                0.69089,                0.63549,                0.67504,                0.49324,                 0.9695,                0.84221,                  1.082,             0.00031076,             0.00031076,             0.00031076
                     64,                 0.9888,                0.81944,                 1.0745,                0.65735,                0.67865,                0.68931,                0.51582,                0.92209,                 0.8248,                 1.0617,             0.00030729,             0.00030729,             0.00030729
                     65,                0.98327,                0.80928,                 1.0734,                0.67493,                0.63617,                0.68311,                0.50903,                0.96566,                0.82294,                 1.0754,             0.00030382,             0.00030382,             0.00030382
                     66,                0.97479,                0.80495,                 1.0683,                0.71628,                0.63043,                0.68705,                0.51988,                0.91021,                0.81509,                 1.0514,             0.00030035,             0.00030035,             0.00030035
                     67,                0.97489,                0.80252,                 1.0686,                0.68382,                0.64757,                0.68642,                0.51751,                0.92236,                0.81995,                 1.0588,             0.00029687,             0.00029687,             0.00029687
                     68,                0.97808,                0.80218,                 1.0667,                0.74003,                0.61266,                0.69161,                0.51813,                0.92144,                0.81382,                 1.0586,              0.0002934,              0.0002934,              0.0002934
                     69,                0.97799,                0.79151,                 1.0677,                0.73212,                0.64797,                0.69382,                 0.5306,                0.90298,                0.80718,                 1.0493,             0.00028993,             0.00028993,             0.00028993
                     70,                0.96021,                0.78205,                 1.0631,                0.60337,                0.69219,                0.69233,                  0.523,                0.92465,                0.80688,                 1.0604,             0.00028646,             0.00028646,             0.00028646
                     71,                0.97269,                0.78586,                 1.0645,                0.68268,                  0.657,                0.70527,                0.53074,                 0.9004,                0.80527,                 1.0485,             0.00028299,             0.00028299,             0.00028299
                     72,                0.96363,                0.78396,                 1.0653,                0.68042,                0.61211,                0.68664,                0.51106,                 0.9402,                0.82761,                 1.0617,             0.00027952,             0.00027952,             0.00027952
                     73,                0.96281,                0.77935,                  1.057,                0.71014,                0.66129,                0.69473,                0.52941,                0.89983,                0.79466,                 1.0474,             0.00027604,             0.00027604,             0.00027604
                     74,                 0.9582,                0.77351,                 1.0574,                0.63511,                0.70245,                0.69773,                0.53167,                0.90634,                0.78927,                 1.0483,             0.00027257,             0.00027257,             0.00027257
                     75,                0.95007,                0.77159,                 1.0559,                0.70601,                0.63148,                0.69418,                  0.526,                0.91232,                0.80644,                 1.0517,              0.0002691,              0.0002691,              0.0002691
                     76,                0.95422,                0.77453,                 1.0552,                0.74319,                0.66938,                0.70781,                0.53077,                  0.922,                0.79248,                  1.056,             0.00026563,             0.00026563,             0.00026563
