                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87728,                  0.698,                 1.0361,                0.69804,                0.70298,                0.74255,                0.58352,                0.83955,                0.72992,                 1.0291,             0.00040797,             0.00040797,             0.00040797
                     36,                0.87515,                 0.6934,                 1.0335,                0.74623,                 0.7284,                 0.7745,                0.61132,                0.84229,                 0.7142,                 1.0312,             0.00040449,             0.00040449,             0.00040449
                     37,                0.87124,                0.68527,                 1.0412,                0.71809,                0.72932,                0.76363,                0.59487,                0.84808,                0.72535,                 1.0349,             0.00040102,             0.00040102,             0.00040102
                     38,                0.86237,                0.67691,                 1.0361,                0.72312,                0.74806,                0.77725,                0.60776,                0.82559,                0.70257,                  1.022,             0.00039755,             0.00039755,             0.00039755
                     39,                0.86918,                0.67967,                   1.03,                0.73414,                0.71121,                0.76309,                 0.6005,                0.84738,                0.71608,                 1.0328,             0.00039408,             0.00039408,             0.00039408
                     40,                0.86582,                 0.6697,                 1.0319,                0.76094,                0.72165,                0.77701,                0.61565,                0.82762,                0.69784,                 1.0232,             0.00039061,             0.00039061,             0.00039061
                     41,                0.85507,                0.65771,                  1.027,                0.73356,                0.70974,                0.75729,                0.60229,                0.82574,                0.70407,                 1.0235,             0.00038714,             0.00038714,             0.00038714
                     42,                0.84987,                0.65876,                 1.0216,                0.71047,                0.73958,                0.76185,                0.60644,                 0.8293,                0.70728,                 1.0232,             0.00038366,             0.00038366,             0.00038366
                     43,                0.85417,                0.65683,                 1.0254,                0.74221,                0.73444,                0.77481,                0.61455,                0.82919,                0.68999,                 1.0203,             0.00038019,             0.00038019,             0.00038019
                     44,                0.84944,                0.65231,                 1.0188,                0.75797,                0.75014,                0.77896,                0.61828,                0.82219,                 0.6881,                 1.0172,             0.00037672,             0.00037672,             0.00037672
                     45,                0.84132,                0.63791,                 1.0185,                0.75408,                0.73792,                0.77664,                0.62017,                0.81998,                0.68123,                 1.0152,             0.00037325,             0.00037325,             0.00037325
                     46,                0.83725,                0.63685,                  1.015,                0.75547,                0.73429,                0.77954,                0.62011,                0.82125,                0.68877,                 1.0137,             0.00036978,             0.00036978,             0.00036978
                     47,                 0.8431,                0.62852,                 1.0129,                0.72707,                0.75798,                0.77058,                0.61492,                0.82243,                0.67889,                  1.017,             0.00036631,             0.00036631,             0.00036631
                     48,                0.84109,                0.62725,                  1.016,                0.73361,                0.77618,                0.78732,                 0.6252,                0.81382,                0.67804,                 1.0133,             0.00036283,             0.00036283,             0.00036283
                     49,                0.83398,                0.61365,                 1.0137,                0.77443,                0.74421,                0.78854,                0.62649,                0.81761,                0.67234,                 1.0152,             0.00035936,             0.00035936,             0.00035936
                     50,                0.82965,                0.60612,                 1.0144,                 0.7485,                0.75242,                0.78144,                0.62046,                0.82211,                0.67243,                 1.0162,             0.00035589,             0.00035589,             0.00035589
                     51,                 0.8284,                0.61524,                 1.0107,                0.78648,                0.71617,                0.78888,                0.63287,                0.81027,                0.67129,                 1.0097,             0.00035242,             0.00035242,             0.00035242
                     52,                0.82539,                 0.6032,                 1.0103,                0.75808,                0.76157,                0.78928,                0.63143,                0.80246,                0.67009,                 1.0063,             0.00034895,             0.00034895,             0.00034895
                     53,                0.81802,                0.60008,                 1.0017,                0.73342,                 0.7523,                0.77863,                0.62005,                 0.8311,                0.67095,                 1.0174,             0.00034548,             0.00034548,             0.00034548
                     54,                0.82498,                0.59369,                 1.0127,                0.79996,                0.74079,                0.79799,                0.63332,                  0.815,                0.65843,                 1.0098,             0.00034201,             0.00034201,             0.00034201
