                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90304,                 0.7235,                 1.0449,                0.68597,                0.70771,                0.73621,                0.57032,                 0.8627,                0.76058,                 1.0348,             0.00040797,             0.00040797,             0.00040797
                     36,                0.89739,                0.71598,                 1.0394,                0.72509,                0.71142,                 0.7469,                0.57876,                0.86621,                0.72582,                 1.0385,             0.00040449,             0.00040449,             0.00040449
                     37,                0.89593,                0.70944,                 1.0482,                0.72894,                0.71944,                0.74216,                0.56712,                0.87493,                 0.7438,                 1.0433,             0.00040102,             0.00040102,             0.00040102
                     38,                0.88966,                0.70449,                 1.0444,                0.72047,                0.73311,                 0.7577,                0.58925,                0.85386,                0.73606,                 1.0322,             0.00039755,             0.00039755,             0.00039755
                     39,                0.89405,                0.69629,                 1.0391,                0.65649,                0.75369,                0.75623,                0.58516,                0.86058,                0.72151,                 1.0321,             0.00039408,             0.00039408,             0.00039408
                     40,                0.89373,                0.68912,                 1.0415,                0.73362,                0.70785,                0.75506,                0.58507,                0.84488,                0.71179,                 1.0276,             0.00039061,             0.00039061,             0.00039061
                     41,                0.87724,                0.68083,                 1.0329,                0.67797,                0.72481,                0.75884,                0.57924,                0.85151,                0.72875,                 1.0292,             0.00038714,             0.00038714,             0.00038714
                     42,                 0.8762,                0.67717,                 1.0317,                0.67183,                0.71082,                0.73533,                0.56867,                0.85202,                0.72313,                 1.0304,             0.00038366,             0.00038366,             0.00038366
                     43,                0.87686,                 0.6747,                 1.0321,                0.66313,                0.76553,                0.76424,                0.59568,                0.85345,                0.70436,                 1.0278,             0.00038019,             0.00038019,             0.00038019
                     44,                0.86735,                0.67133,                 1.0253,                0.68717,                 0.7568,                0.76559,                0.59562,                0.84957,                 0.7099,                 1.0257,             0.00037672,             0.00037672,             0.00037672
                     45,                 0.8642,                 0.6638,                 1.0254,                 0.7589,                0.73355,                0.77546,                0.60409,                0.83969,                0.68603,                 1.0191,             0.00037325,             0.00037325,             0.00037325
                     46,                0.86304,                 0.6613,                 1.0247,                0.75875,                0.72198,                0.77432,                0.60411,                0.85152,                0.70079,                 1.0242,             0.00036978,             0.00036978,             0.00036978
                     47,                 0.8651,                0.65067,                 1.0197,                0.76878,                0.70051,                0.77259,                0.60375,                0.83683,                0.69296,                 1.0174,             0.00036631,             0.00036631,             0.00036631
                     48,                0.86231,                 0.6471,                 1.0205,                0.73158,                0.73828,                0.76894,                0.60462,                0.85534,                0.68823,                 1.0293,             0.00036283,             0.00036283,             0.00036283
                     49,                0.85473,                0.64295,                 1.0174,                0.71644,                0.72756,                0.76517,                0.59894,                0.83273,                 0.7092,                 1.0163,             0.00035936,             0.00035936,             0.00035936
